Product ID,Product Name,Price,Review,Rating,One-word Review,Cleaned_Review,Tokenized_Review,Cleaned_One_Word_Review,TextBlob_Sentiment_Score,TextBlob_Sentiment
MOBH3XHRUQMKBEZX,"vivo T3 Pro 5G (Emerald Green, 256 GB)",26999.0,"Super camera quality 😍.
Value of money..",5,Terrific purchase,super camera quality value of money,super camera quality value money,terrific purchase,0.3333333333333333,Positive
MOBH3XHRUQMKBEZX,"vivo T3 Pro 5G (Emerald Green, 256 GB)",26999.0,Just looking like a woow,5,Terrific purchase,just looking like a woow,look like woow,terrific purchase,0.0,Neutral
MOBH3XHRUQMKBEZX,"vivo T3 Pro 5G (Emerald Green, 256 GB)",26999.0,"Mast
I like it 🤩🤩
Amazing performance And battery backup is good Camera performs well Curve Display feels premium",5,Brilliant,mast i like it amazing performance and battery backup is good camera performs well curve display feels premium,mast like amazing performance battery backup good camera perform well curve display feel premium,brilliant,0.65,Strongly Positive
MOBH3XHRUQMKBEZX,"vivo T3 Pro 5G (Emerald Green, 256 GB)",26999.0,Nice design and looking awesome...camera good ...battery performance k..,5,Brilliant,nice design and looking awesomecamera good battery performance k,nice design look awesomecamera good battery performance k,brilliant,0.6499999999999999,Strongly Positive
MOBH3XHRUQMKBEZX,"vivo T3 Pro 5G (Emerald Green, 256 GB)",26999.0,"Camera 4.5/5
battery = 5/5
performance = Bgmi constant 60 fps gameplay, but medium heating issue 4.6/5
Display = 4.8/5
Overall charging very fast, speaker loud👍, Auto call record, Great 5G connection. Overall it really worth it In this price range.",5,Must buy!,camera battery performance bgmi constant fps gameplay but medium heating issue display overall charging very fast speaker loud auto call record great g connection overall it really worth it in this price range,camera battery performance bgmi constant fps gameplay medium heating issue display overall charge fast speaker loud auto call record great g connection overall really worth price range,must buy,0.2085714285714286,Positive
MOBH3XHRUQMKBEZX,"vivo T3 Pro 5G (Emerald Green, 256 GB)",26999.0,"All over a very good product,The picture quality of the camera is very good, the value of money",5,Awesome,all over a very good productthe picture quality of the camera is very good the value of money,good productthe picture quality camera good value money,awesome,0.9099999999999999,Strongly Positive
MOBH3XHRUQMKBEZX,"vivo T3 Pro 5G (Emerald Green, 256 GB)",26999.0,"All-rounder Mobile from Vivo...
Battery *****
Performance*****
Selfie camera*****
Main camera ****
Design n look just awesome 😎😎😎
Flash charge*****
Thank you Flipkart",5,Wonderful,allrounder mobile from vivo battery performance selfie camera main camera design n look just awesome flash charge thank you flipkart,allrounder mobile vivo battery performance selfie camera main camera design n look awesome flash charge thank flipkart,wonderful,0.5833333333333334,Strongly Positive
MOBH3XHRUQMKBEZX,"vivo T3 Pro 5G (Emerald Green, 256 GB)",26999.0,"Back camera quality is very good, picture perfect mobile. Battery easily withstand 1.5 days. At this price range display is class. Overall best buy.",5,Super!,back camera quality is very good picture perfect mobile battery easily withstand days at this price range display is class overall best buy,back camera quality good picture perfect mobile battery easily withstand day price range display class overall good buy,super,0.5572222222222222,Strongly Positive
MOBH3XHRUQMKBEZX,"vivo T3 Pro 5G (Emerald Green, 256 GB)",26999.0,"Best of the best mobile, blindly go for it.
Camera 11/10 (2X POTRAIT CAPTURE DSLR TYPE IMG)
Battery 10/10 (Very Impressed 1.5 days backup)
Charging 10/10 ( hardly takes 45-50min to fully charge)
Display 11/10 (Top notch Amoled 3D curve display)
Speaker 10/10 (Best quality)
Performance 11/10 (Beast)
UI 10/10 (If you remove all ads settings, smooth clean UI is awaiting for you with no bugs/lags FunTouch OS is very optimised)
Overall very good phone. Best in market.",5,Terrific,best of the best mobile blindly go for it camera x potrait capture dslr type img battery very impressed days backup charging hardly takes min to fully charge display top notch amoled d curve display speaker best quality performance beast ui if you remove all ads settings smooth clean ui is awaiting for you with no bugslags funtouch os is very optimised overall very good phone best in market,good good mobile blindly go camera x potrait capture dslr type img battery impressed day backup charge hardly take min fully charge display top notch amole curve display speaker good quality performance beast ui remove ad setting smooth clean ui await bugslag funtouch os optimise overall good phone good market,terrific,0.5065384615384615,Strongly Positive
MOBH3XHRUQMKBEZX,"vivo T3 Pro 5G (Emerald Green, 256 GB)",26999.0,Awesome Phone 📱 . Value for Money. Best in market. But Camera glass is sensitive use carefully.,5,Best in the market!,awesome phone value for money best in market but camera glass is sensitive use carefully,awesome phone value money good market camera glass sensitive use carefully,best in the market,0.5,Positive
